# Filename: ILATM2_20110419_121430_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_20110419_121430.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 110419_aa_l12_cfm_itrf05_10jun11_6138
# International Terrestrial Reference Frame: ITRF05
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
44092.00, 68.778054, 326.882078, 789.9957, -0.0114770, -0.0231712, 95.23, 526, 8, 124, 1
44092.00, 68.777958, 326.884339, 791.8473, 0.0104604, 0.0572761, 60.34, 326, 12, 33, 2
44092.00, 68.777862, 326.886600, 796.0276, 0.0303845, -0.0379880, 48.24, 597, 33, -59, 3
44092.00, 68.777924, 326.885142, 794.5841, 0.0061383, 0.1164490, 77.70, 303, 12, 0, 0
44092.25, 68.777787, 326.881896, 789.6691, 0.0499317, -0.0087010, 167.62, 532, 2, 128, 1
44092.25, 68.777692, 326.884157, 791.1943, 0.0054150, 0.0501001, 55.33, 335, 5, 36, 2
44092.25, 68.777598, 326.886417, 796.0531, 0.0049169, -0.0510782, 38.27, 580, 61, -55, 3
44092.25, 68.777655, 326.885056, 793.9945, 0.0041877, 0.1146283, 58.76, 311, 11, 0, 0
44092.50, 68.777519, 326.881740, 788.4853, 0.0482842, 0.0398129, 217.34, 541, 0, 131, 1
44092.50, 68.777426, 326.883997, 790.4882, 0.0168632, 0.0457977, 50.08, 332, 8, 39, 2
44092.50, 68.777333, 326.886254, 796.1432, -0.0133965, -0.0400938, 71.03, 589, 54, -52, 3
44092.50, 68.777386, 326.884971, 793.3326, 0.0108340, 0.1156888, 61.74, 320, 8, 0, 0
44092.75, 68.777250, 326.881594, 787.7595, 0.0012060, 0.0760782, 178.42, 540, 5, 133, 1
44092.75, 68.777159, 326.883846, 789.5228, 0.0233598, 0.0511035, 41.24, 333, 6, 42, 2
44092.75, 68.777068, 326.886098, 795.6689, -0.0073640, -0.0001584, 134.55, 636, 11, -49, 3
44092.75, 68.777117, 326.884888, 792.6103, 0.0061235, 0.1158299, 65.63, 328, 2, 0, 0
44093.00, 68.776981, 326.881452, 788.0032, -0.0178341, 0.0989681, 196.15, 535, 9, 136, 1
44093.00, 68.776892, 326.883703, 788.7431, 0.0052474, 0.0552162, 36.74, 340, 2, 45, 2
44093.00, 68.776803, 326.885954, 795.2449, 0.0056530, 0.0200485, 119.40, 646, 8, -47, 3
44093.00, 68.776848, 326.884806, 792.1417, -0.0023384, 0.1085080, 62.50, 329, 0, 0, 0
44093.25, 68.776711, 326.881314, 788.1040, 0.0059276, 0.1298131, 167.37, 531, 18, 138, 1
44093.25, 68.776624, 326.883568, 788.8645, -0.0294808, 0.0509156, 42.84, 324, 14, 47, 2
44093.25, 68.776537, 326.885821, 794.9741, -0.0110272, 0.0313786, 121.61, 634, 21, -44, 3
44093.25, 68.776579, 326.884725, 792.0569, -0.0104519, 0.0865641, 65.89, 322, 8, 0, 0
44093.50, 68.776441, 326.881194, 787.0166, 0.0187358, 0.1362401, 107.73, 514, 31, 140, 1
