# Filename: ILATM2_20120418_151854_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_20120418_151854.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 120418_aa_l12_jgs_itrf08_05jul12_6138
# International Terrestrial Reference Frame: ITRF08
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
55124.75, 68.335481, 327.844915, 55.0837, 0.0002762, 0.0012072, 5.66, 223, 0, 63, 1
55124.75, 68.335220, 327.843097, 55.0337, -0.0004118, 0.0001853, 5.25, 265, 4, -17, 2
55124.75, 68.334959, 327.841278, 54.9869, 0.0004803, -0.0004850, 7.83, 233, 2, -97, 3
55124.75, 68.335276, 327.843488, 55.0339, 0.0000000, 0.0003590, 5.18, 270, 4, 0, 0
55125.00, 68.335741, 327.844545, 55.0802, 0.0009788, 0.0000000, 6.28, 247, 0, 59, 1
55125.00, 68.335471, 327.842666, 55.0347, 0.0012808, 0.0002819, 6.91, 228, 3, -24, 2
55125.00, 68.335201, 327.840787, 54.9971, 0.0010743, 0.0013931, 7.78, 227, 1, -106, 3
55125.00, 68.335548, 327.843202, 55.0441, 0.0014276, 0.0004541, 6.37, 233, 5, 0, 0
55125.25, 68.336017, 327.844284, 55.0672, -0.0014281, 0.0000000, 6.54, 373, 2, 60, 1
55125.25, 68.335745, 327.842395, 55.0430, -0.0004670, 0.0000000, 8.88, 169, 0, -23, 2
55125.25, 68.335474, 327.840505, 54.9875, 0.0000000, 0.0015348, 8.55, 267, 0, -106, 3
55125.25, 68.335820, 327.842915, 55.0429, -0.0002723, 0.0011234, 8.74, 207, 0, 0, 0
55125.50, 68.336300, 327.844080, 55.0285, 0.0005711, 0.0008657, 7.74, 480, 1, 64, 1
