# Filename: ILATM2_20100508_125016_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_20100508_125016.atm4bT2.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 100508_aa_l12_cfm_itrf05_03aug10_6138
# International Terrestrial Reference Frame: ITRF05
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
46187.20, 66.359846, 321.885301, 55.6135, 0.0403568, 0.0406099, 183.14, 820, 8, 73, 1
46187.20, 66.359036, 321.884706, 52.4349, -0.0012530, -0.0559395, 232.33, 458, 37, -21, 2
46187.20, 66.358227, 321.884110, 100.6225, -0.4359217, -0.3226077, 299.48, 1006, 55, -115, 3
46187.20, 66.359219, 321.884840, 52.0139, 0.0558291, -0.0123298, 105.77, 432, 0, 0, 0
46187.44, 66.359944, 321.884634, 55.0314, 0.0207993, 0.0503231, 183.48, 818, 6, 75, 1
46187.44, 66.359149, 321.884045, 53.5482, -0.0262097, -0.0431370, 226.03, 496, 3, -18, 2
46187.44, 66.358354, 321.883456, 96.2123, -0.7047074, -0.2687985, 547.12, 1040, 0, -110, 3
46187.44, 66.359300, 321.884157, 52.6224, 0.0319019, -0.0101189, 125.10, 423, 3, 0, 0
46187.70, 66.360027, 321.883956, 54.2206, 0.0142282, 0.0374724, 205.81, 742, 73, 75, 1
46187.70, 66.359232, 321.883363, 54.5242, -0.0448401, -0.0425740, 223.13, 488, 0, -17, 2
46187.70, 66.358436, 321.882770, 96.3927, -0.7662499, -0.2040091, 631.63, 1011, 0, -110, 3
46187.70, 66.359382, 321.883475, 53.2837, 0.0121193, -0.0199257, 160.28, 411, 0, 0, 0
46187.94, 66.360110, 321.883276, 56.4380, 0.1606063, -0.0481759, 482.91, 813, 1, 75, 1
46187.94, 66.359317, 321.882682, 56.1597, -0.0323046, -0.0768414, 199.32, 476, 0, -17, 2
