# Filename: ILATM2_V01_20130405_121250_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_V01_20130405_121250.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 130405_aa_l12_cfm_itrf08_27may13_6138_ilul
# International Terrestrial Reference Frame: ITRF08
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
43965.75, 66.377226, 321.370586, 814.9582, -0.0495045, -0.0531475, 23.95, 582, 3, 24, 1
43965.75, 66.378084, 321.370167, 810.7197, -0.0480998, -0.0352435, 22.26, 331, 4, -74, 2
43965.75, 66.378942, 321.369747, 807.8036, -0.0350403, -0.0588047, 51.51, 591, 0, -171, 3
43965.75, 66.377435, 321.370485, 813.9827, -0.0551587, -0.0532783, 29.43, 322, 1, 0, 0
43966.00, 66.377292, 321.371288, 812.9630, -0.0484173, -0.0510323, 18.25, 586, 1, 22, 1
43966.00, 66.378146, 321.370874, 809.3969, -0.0433943, -0.0307902, 23.39, 305, 11, -74, 2
43966.00, 66.379001, 321.370460, 805.8387, -0.0396637, -0.0552692, 48.81, 589, 0, -171, 3
43966.00, 66.377490, 321.371192, 812.1212, -0.0472599, -0.0462208, 20.97, 321, 0, 0, 0
43966.25, 66.377352, 321.371993, 811.2457, -0.0409160, -0.0456467, 17.40, 576, 10, 22, 1
43966.25, 66.378206, 321.371581, 807.9207, -0.0512942, -0.0462147, 41.11, 334, 0, -75, 2
43966.25, 66.379060, 321.371168, 803.8115, -0.0404870, -0.0603781, 32.74, 577, 11, -172, 3
43966.25, 66.377545, 321.371900, 810.5287, -0.0420015, -0.0391588, 19.12, 321, 2, 0, 0
43966.50, 66.377402, 321.372703, 809.6148, -0.0392773, -0.0457144, 16.12, 560, 21, 22, 1
43966.50, 66.378258, 321.372293, 806.1030, -0.0475818, -0.0528567, 44.47, 332, 0, -75, 2
43966.50, 66.379114, 321.371882, 801.8740, -0.0405472, -0.0490065, 47.62, 588, 0, -171, 3
43966.50, 66.377599, 321.372608, 808.8691, -0.0444524, -0.0503667, 21.06, 317, 3, 0, 0
43966.75, 66.377448, 321.373414, 807.6590, -0.0468678, -0.0593430, 17.01, 576, 3, 23, 1
43966.75, 66.378307, 321.373006, 804.1866, -0.0373784, -0.0545415, 29.26, 321, 0, -74, 2
43966.75, 66.379166, 321.372598, 799.8339, -0.0378674, -0.0593247, 57.29, 586, 1, -171, 3
43966.75, 66.377654, 321.373317, 806.7732, -0.0546783, -0.0603076, 16.90, 315, 1, 0, 0
43967.00, 66.377493, 321.374127, 805.6724, -0.0489772, -0.0470477, 24.64, 575, 1, 24, 1
43967.00, 66.378353, 321.373720, 801.9793, -0.0506659, -0.0670399, 47.71, 335, 0, -73, 2
43967.00, 66.379214, 321.373314, 797.4677, -0.0236801, -0.0544631, 27.12, 549, 39, -170, 3
43967.00, 66.377708, 321.374025, 804.7008, -0.0563252, -0.0485746, 20.16, 313, 0, 0, 0
43967.25, 66.377537, 321.374839, 804.0213, -0.0480385, -0.0424014, 29.40, 574, 1, 25, 1
43967.25, 66.378399, 321.374435, 799.6676, -0.0579596, -0.0595868, 46.03, 334, 0, -72, 2
43967.25, 66.379260, 321.374032, 795.7808, -0.0307289, -0.0512075, 37.02, 575, 10, -170, 3
43967.25, 66.377761, 321.374734, 802.9985, -0.0559182, -0.0398327, 26.36, 311, 2, 0, 0
43967.50, 66.377578, 321.375553, 802.2469, -0.0510948, -0.0547273, 43.92, 553, 24, 27, 1
43967.50, 66.378442, 321.375152, 797.5403, -0.0485920, -0.0571398, 45.06, 321, 0, -71, 2
43967.50, 66.379305, 321.374750, 794.3598, -0.0378115, -0.0379223, 39.98, 584, 1, -169, 3
43967.50, 66.377814, 321.375443, 801.0521, -0.0643591, -0.0591913, 38.83, 308, 4, 0, 0
43967.75, 66.377617, 321.376268, 799.8489, -0.0543085, -0.0771130, 69.91, 571, 8, 28, 1
43967.75, 66.378482, 321.375869, 795.4696, -0.0360211, -0.0569668, 33.18, 340, 2, -70, 2
43967.75, 66.379347, 321.375470, 792.8337, -0.0510261, -0.0538884, 46.87, 586, 0, -167, 3
43967.75, 66.377867, 321.376153, 798.6152, -0.0707125, -0.0654414, 46.21, 302, 13, 0, 0
43968.00, 66.377648, 321.376987, 797.2573, -0.0456779, -0.0828799, 59.12, 572, 10, 31, 1
43968.00, 66.378519, 321.376588, 793.6866, -0.0256029, -0.0471102, 36.00, 348, 0, -68, 2
43968.00, 66.379389, 321.376189, 790.8962, -0.0653286, -0.0601470, 49.16, 588, 1, -166, 3
43968.00, 66.377919, 321.376862, 796.1364, -0.0631292, -0.0644434, 47.29, 304, 9, 0, 0
43968.25, 66.377684, 321.377704, 794.8582, -0.0348736, -0.0587137, 37.41, 570, 16, 33, 1
43968.25, 66.378556, 321.377307, 791.8943, -0.0294835, -0.0585011, 38.61, 334, 0, -66, 2
43968.25, 66.379428, 321.376910, 788.6917, -0.0629879, -0.0572015, 61.08, 598, 1, -165, 3
43968.25, 66.377972, 321.377573, 793.9152, -0.0496668, -0.0527940, 29.99, 292, 12, 0, 0
43968.50, 66.377713, 321.378423, 792.8828, -0.0287944, -0.0634538, 66.34, 584, 1, 35, 1
43968.50, 66.378587, 321.378028, 789.8645, -0.0336946, -0.0606116, 46.82, 340, 0, -64, 2
43968.50, 66.379460, 321.377633, 786.5065, -0.0513260, -0.0560685, 57.72, 606, 1, -162, 3
43968.50, 66.378023, 321.378283, 791.9871, -0.0487986, -0.0486735, 40.73, 294, 9, 0, 0
43968.75, 66.377748, 321.379140, 791.1772, -0.0208195, -0.0426544, 85.80, 583, 2, 37, 1
43968.75, 66.378621, 321.378748, 787.6816, -0.0422524, -0.0617841, 62.23, 341, 0, -62, 2
43968.75, 66.379494, 321.378356, 784.2858, -0.0344430, -0.0488631, 40.21, 584, 28, -160, 3
