# Filename: ILATM2_20140424_150930_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_20140424_150930.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 140424_aa_l12_cfm_itrf08_08jul14_meth
# International Terrestrial Reference Frame: ITRF08
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
54572.75, 66.412071, 321.611573, 506.2228, -0.1433060, -0.3540775, 752.25, 562, 4, 144, 1
54572.75, 66.412408, 321.613570, 505.7581, 0.1058720, 0.0016041, 558.70, 321, 10, 48, 2
54572.75, 66.412575, 321.614558, 504.3576, 0.0473529, -0.1069282, 279.79, 268, 42, 0, 0
54573.00, 66.411782, 321.611736, 507.9736, -0.0733555, -0.2947580, 816.84, 557, 6, 150, 1
54573.00, 66.412121, 321.613734, 501.4178, 0.1709086, 0.0593048, 641.99, 337, 3, 53, 2
54573.25, 66.411827, 321.613857, 497.6036, 0.1451215, 0.1556994, 889.24, 356, 2, 61, 2
54573.25, 66.412184, 321.615944, 486.8524, 0.1046236, -0.0372491, 915.35, 653, 11, -40, 3
54573.50, 66.411914, 321.616194, 483.5658, 0.0433574, 0.0423541, 613.30, 628, 21, -38, 3
54573.75, 66.410952, 321.612477, 511.6342, 0.0913175, -0.0464334, 331.66, 507, 54, 156, 1
54573.75, 66.411655, 321.616511, 485.6596, -0.0458221, -0.0156727, 547.84, 618, 10, -40, 3
54573.75, 66.411513, 321.615695, 486.0933, 0.0647016, 0.0112877, 863.84, 305, 0, 0, 0
54574.00, 66.410680, 321.612752, 505.4970, 0.0810925, -0.1420454, 674.90, 560, 10, 157, 1
54574.00, 66.411391, 321.616796, 486.6421, 0.0029441, -0.0868555, 358.88, 614, 13, -39, 3
54574.00, 66.411248, 321.615984, 484.0268, 0.0951365, 0.1613475, 560.98, 311, 1, 0, 0
54574.25, 66.410401, 321.612981, 500.4467, 0.0278702, -0.2096180, 826.27, 552, 4, 160, 1
54574.25, 66.411109, 321.616990, 486.2608, -0.0152503, -0.0933580, 187.04, 587, 42, -35, 3
54574.25, 66.410983, 321.616275, 484.7059, 0.0136866, 0.1090919, 608.13, 318, 0, 0, 0
54574.50, 66.410113, 321.613154, 498.1365, -0.0260743, -0.2207905, 918.82, 545, 1, 166, 1
54574.50, 66.410833, 321.617214, 485.4978, -0.0063487, -0.0745030, 186.29, 564, 60, -31, 3
54574.50, 66.410719, 321.616568, 485.5451, -0.0086408, -0.1290286, 658.02, 318, 0, 0, 0
54574.75, 66.409832, 321.613390, 495.0545, 0.1310298, -0.1957381, 954.50, 533, 0, 169, 1
54574.75, 66.410562, 321.617464, 482.1339, 0.0575594, -0.0516355, 536.74, 596, 13, -29, 3
