# Filename: ILATM2_V01_20130410_132724_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_V01_20130410_132724.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 130410_aa_l12_cfm_itrf08_27may13_6138
# International Terrestrial Reference Frame: ITRF08
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
48431.25, 69.179072, 311.089618, 871.6578, 0.0122407, -0.0108278, 20.52, 557, 0, 166, 1
48431.25, 69.178373, 311.090690, 871.3331, -0.0105591, 0.0080422, 16.55, 327, 2, 77, 2
48431.25, 69.177675, 311.091761, 872.4311, -0.0051729, 0.0086800, 25.04, 631, 6, -11, 3
48431.25, 69.177765, 311.091623, 872.3449, -0.0074519, 0.0117620, 25.41, 430, 4, 0, 0
48431.50, 69.178916, 311.089024, 871.7955, 0.0123594, -0.0218422, 19.71, 554, 6, 162, 1
48431.50, 69.178229, 311.090089, 871.2040, -0.0017264, 0.0100846, 21.02, 342, 0, 74, 2
48431.50, 69.177541, 311.091154, 872.2103, -0.0078655, 0.0140114, 27.12, 621, 5, -13, 3
48431.50, 69.177643, 311.090996, 872.0571, -0.0094343, 0.0199716, 26.34, 413, 2, 0, 0
48431.75, 69.178766, 311.088426, 871.9580, 0.0195864, -0.0157816, 20.79, 563, 8, 158, 1
48431.75, 69.178090, 311.089482, 871.0539, -0.0034073, 0.0031770, 19.37, 326, 0, 72, 2
48431.75, 69.177414, 311.090538, 871.9761, -0.0048332, 0.0140811, 27.62, 615, 3, -14, 3
48431.75, 69.177520, 311.090372, 871.8323, -0.0119285, 0.0099656, 22.76, 404, 2, 0, 0
48432.00, 69.178665, 311.087745, 872.3179, 0.0133320, -0.0206991, 26.53, 551, 8, 162, 1
48432.00, 69.177981, 311.088826, 871.0951, -0.0077104, -0.0009429, 19.45, 335, 1, 74, 2
48432.00, 69.177296, 311.089907, 871.8078, -0.0006708, 0.0086110, 21.51, 617, 5, -13, 3
48432.00, 69.177397, 311.089748, 871.7534, -0.0041021, 0.0076013, 16.26, 400, 12, 0, 0
48432.25, 69.178565, 311.087073, 872.7932, 0.0064985, -0.0030968, 36.24, 532, 7, 165, 1
48432.25, 69.177876, 311.088168, 871.2226, -0.0018169, -0.0044590, 23.63, 331, 12, 77, 2
48432.25, 69.177187, 311.089263, 871.6185, -0.0006056, 0.0089210, 18.39, 628, 8, -11, 3
48432.25, 69.177272, 311.089127, 871.5673, -0.0002347, 0.0089018, 17.91, 432, 5, 0, 0
48432.50, 69.178462, 311.086400, 872.6745, 0.0046669, 0.0290724, 29.21, 508, 15, 168, 1
48432.50, 69.177774, 311.087502, 871.5085, 0.0065723, -0.0135609, 21.70, 330, 4, 80, 2
48432.50, 69.177087, 311.088603, 871.4609, -0.0005480, 0.0050972, 15.79, 641, 6, -8, 3
48432.50, 69.177147, 311.088507, 871.4360, -0.0018198, 0.0032107, 15.09, 462, 4, 0, 0
48432.75, 69.178347, 311.085743, 872.0528, -0.0079528, 0.0285236, 31.25, 515, 0, 170, 1
48432.75, 69.177665, 311.086845, 871.7537, 0.0067380, -0.0113041, 19.12, 338, 1, 83, 2
48432.75, 69.176984, 311.087948, 871.4568, 0.0021610, -0.0005478, 19.29, 646, 5, -5, 3
48432.75, 69.177021, 311.087888, 871.4749, -0.0007530, -0.0027946, 17.10, 485, 3, 0, 0
48433.00, 69.178221, 311.085106, 871.6722, -0.0153659, 0.0139659, 26.20, 514, 1, 171, 1
48433.00, 69.177548, 311.086204, 871.8126, 0.0055684, -0.0023161, 19.34, 331, 3, 84, 2
48433.00, 69.176875, 311.087302, 871.5233, 0.0032072, -0.0045267, 24.44, 641, 16, -3, 3
48433.00, 69.176894, 311.087270, 871.5688, 0.0000000, -0.0048555, 22.89, 492, 13, 0, 0
48433.25, 69.178090, 311.084479, 871.4468, -0.0095444, 0.0168982, 17.04, 518, 2, 170, 1
