# Filename: ILATM2_20150421_135359_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_20150421_135359.atm5aT3.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 150421_c130_l12_cfm_itrf08_03jun15_meth
# International Terrestrial Reference Frame: ITRF08
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
50014.50, 69.159514, 309.557573, 25.9880, -0.0009861, 0.0012462, 16.33, 509, 0, 11, 1
50014.50, 69.160104, 309.556283, 25.9006, -0.0004864, -0.0002575, 22.09, 268, 0, -72, 2
50014.50, 69.160694, 309.554993, 25.9828, 0.0006323, -0.0013242, 14.57, 527, 0, -155, 3
50014.50, 69.159594, 309.557398, 25.9741, -0.0014213, 0.0015216, 20.12, 350, 0, 0, 0
50014.75, 69.159665, 309.558079, 25.9836, -0.0014703, 0.0006702, 15.68, 514, 0, 10, 1
50014.75, 69.160258, 309.556794, 25.8907, 0.0000000, 0.0000000, 21.48, 310, 0, -73, 2
50014.75, 69.160851, 309.555509, 25.9697, 0.0001682, -0.0014568, 13.66, 521, 0, -156, 3
50014.75, 69.159738, 309.557921, 25.9690, -0.0019399, 0.0006548, 19.06, 363, 0, 0, 0
50015.00, 69.159817, 309.558585, 25.9652, -0.0015988, 0.0013357, 15.14, 527, 0, 9, 1
50015.00, 69.160412, 309.557306, 25.8707, -0.0013342, -0.0008151, 21.34, 317, 0, -74, 2
50015.00, 69.161007, 309.556027, 25.9414, 0.0012479, -0.0018810, 14.49, 522, 0, -158, 3
50015.00, 69.159881, 309.558447, 25.9528, -0.0015518, 0.0010467, 17.77, 390, 0, 0, 0
