# Filename: ILATM2_20120418_145303_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_20120418_145303.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 120418_aa_l12_jgs_itrf08_05jul12_6138
# International Terrestrial Reference Frame: ITRF08
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
53573.75, 68.664907, 326.982039, 362.8383, -0.0018234, -0.1317298, 480.72, 590, 0, 71, 1
53573.75, 68.665532, 326.984070, 360.5810, -0.0305135, -0.0479829, 572.17, 331, 6, -37, 2
53573.75, 68.666157, 326.986101, 361.8395, 0.1392580, 0.0457373, 527.42, 632, 1, -144, 3
53573.75, 68.665318, 326.983374, 362.8403, 0.1368280, -0.0092152, 515.57, 243, 12, 0, 0
53574.00, 68.664680, 326.982581, 360.7150, 0.0026524, -0.1090716, 499.52, 602, 0, 70, 1
53574.00, 68.665308, 326.984601, 359.1141, 0.0658523, -0.0480162, 554.93, 337, 0, -37, 2
53574.00, 68.665935, 326.986621, 363.2765, -0.0142864, 0.1330121, 573.88, 630, 0, -145, 3
53574.00, 68.665090, 326.983900, 359.2258, 0.1228682, -0.0240409, 555.29, 253, 0, 0, 0
53574.25, 68.664459, 326.983119, 362.3432, -0.1599884, 0.0327387, 505.93, 592, 0, 70, 1
53574.25, 68.665083, 326.985138, 359.8477, -0.0974744, 0.1098644, 462.90, 335, 0, -38, 2
53574.25, 68.665708, 326.987157, 367.3356, -0.0318667, 0.1114633, 359.72, 619, 13, -145, 3
53574.25, 68.664864, 326.984428, 359.5204, -0.1410617, 0.0441608, 412.07, 247, 4, 0, 0
53574.50, 68.664242, 326.983685, 363.7180, 0.0006466, -0.1187366, 502.90, 592, 0, 67, 1
53574.50, 68.664865, 326.985690, 362.6422, -0.0186162, 0.0755822, 489.28, 344, 0, -39, 2
53574.50, 68.665488, 326.987695, 369.6215, -0.0001307, 0.0944963, 396.02, 639, 0, -146, 3
53574.50, 68.664636, 326.984954, 360.6810, 0.0248753, -0.0270409, 504.88, 256, 0, 0, 0
53574.75, 68.664019, 326.984216, 361.9595, -0.0271295, -0.0834947, 509.00, 594, 0, 67, 1
53574.75, 68.664644, 326.986234, 363.0009, 0.0652898, 0.0386387, 477.49, 350, 0, -40, 2
53574.75, 68.665268, 326.988252, 371.3784, 0.0034708, 0.0709554, 492.05, 640, 0, -147, 3
53574.75, 68.664411, 326.985481, 360.1009, -0.0011590, 0.0048609, 515.42, 259, 0, 0, 0
53575.00, 68.663804, 326.984786, 365.2280, -0.1888647, 0.0902012, 512.71, 580, 0, 65, 1
53575.00, 68.664425, 326.986785, 364.3588, -0.0427696, 0.0806574, 538.20, 340, 0, -41, 2
53575.00, 68.665046, 326.988785, 373.2961, -0.0419615, 0.1620049, 503.97, 635, 0, -148, 3
53575.00, 68.664183, 326.986007, 362.2462, -0.1041377, 0.0809670, 512.38, 255, 0, 0, 0
53575.25, 68.663583, 326.985321, 369.3889, -0.0387664, -0.0037535, 459.21, 591, 0, 64, 1
53575.25, 68.664200, 326.987320, 368.6717, -0.1007355, 0.0847955, 467.28, 337, 0, -42, 2
53575.25, 68.664818, 326.989320, 376.2379, 0.0252260, 0.1592972, 419.32, 635, 0, -148, 3
53575.25, 68.663958, 326.986534, 367.8337, -0.1137364, 0.1318591, 470.94, 256, 0, 0, 0
53575.50, 68.663365, 326.985881, 369.7467, 0.0454185, -0.0110982, 387.86, 596, 0, 63, 1
53575.50, 68.663977, 326.987854, 371.8770, -0.0232536, 0.0489767, 475.26, 337, 0, -42, 2
53575.50, 68.664588, 326.989826, 378.4304, 0.0482663, 0.0770185, 416.83, 632, 0, -147, 3
53575.50, 68.663730, 326.987059, 371.1763, -0.0193427, -0.0007873, 392.44, 260, 0, 0, 0
53575.75, 68.663139, 326.986405, 370.7449, 0.0310600, 0.0835442, 444.80, 578, 0, 63, 1
53575.75, 68.663750, 326.988384, 373.6700, -0.0319912, 0.0524595, 575.12, 346, 0, -42, 2
53575.75, 68.664361, 326.990363, 380.9594, -0.0301209, 0.0966476, 382.06, 628, 0, -147, 3
53575.75, 68.663504, 326.987586, 373.7000, -0.1135803, 0.0610487, 350.74, 265, 0, 0, 0
53576.00, 68.662912, 326.986935, 373.6625, -0.1442765, 0.1039601, 676.77, 571, 0, 63, 1
53576.00, 68.663525, 326.988911, 376.9284, -0.1023873, 0.0359712, 519.61, 342, 0, -42, 2
53576.00, 68.664137, 326.990888, 383.8376, -0.0177269, 0.1057365, 371.97, 622, 0, -147, 3
53576.00, 68.663277, 326.988112, 377.0433, 0.0342934, 0.0997970, 426.37, 266, 1, 0, 0
53576.25, 68.662707, 326.987522, 376.8226, -0.0992537, -0.0411671, 593.72, 577, 0, 59, 1
53576.25, 68.663304, 326.989459, 380.2431, -0.0544746, 0.0299739, 383.41, 322, 6, -44, 2
53576.25, 68.663901, 326.991396, 385.8614, 0.0068013, 0.0212308, 381.05, 622, 0, -146, 3
53576.25, 68.663051, 326.988638, 378.3600, 0.0628661, 0.0930740, 520.30, 262, 0, 0, 0
53576.50, 68.662478, 326.988046, 378.2919, -0.0144180, -0.0466185, 598.30, 572, 0, 59, 1
53576.50, 68.663077, 326.989983, 381.1310, 0.0224680, 0.0804949, 468.66, 335, 0, -43, 2
53576.50, 68.663676, 326.991919, 387.4745, -0.0486790, 0.0344633, 361.23, 614, 3, -146, 3
53576.50, 68.662824, 326.989164, 379.7662, 0.0058069, 0.0583015, 598.69, 265, 0, 0, 0
53576.75, 68.662253, 326.988570, 380.6171, -0.0933839, 0.0736609, 611.13, 559, 0, 59, 1
53576.75, 68.662849, 326.990507, 383.5380, -0.0429184, 0.1544425, 498.07, 333, 0, -43, 2
53576.75, 68.663446, 326.992445, 388.4709, 0.0118870, 0.0208163, 351.71, 608, 4, -146, 3
53576.75, 68.662598, 326.989691, 382.8952, -0.0900364, 0.0976432, 622.36, 264, 0, 0, 0
53577.00, 68.662028, 326.989109, 383.3203, -0.0240533, 0.0186261, 637.29, 555, 0, 59, 1
53577.00, 68.662625, 326.991041, 387.5271, -0.0355807, 0.1132268, 433.88, 337, 0, -44, 2
53577.00, 68.663221, 326.992972, 389.6744, -0.0399209, 0.0288463, 343.03, 603, 0, -146, 3
53577.00, 68.662370, 326.990217, 386.5868, -0.0327632, 0.0542629, 500.81, 268, 0, 0, 0
53577.25, 68.661804, 326.989640, 383.7488, 0.0227489, -0.0186080, 596.27, 560, 0, 58, 1
53577.25, 68.662403, 326.991584, 390.2152, -0.0190754, 0.0543930, 344.40, 341, 0, -45, 2
53577.25, 68.663002, 326.993529, 391.5063, -0.0582126, 0.0069192, 341.07, 593, 0, -148, 3
53577.25, 68.662144, 326.990743, 388.4466, 0.0160742, 0.0659898, 388.14, 272, 1, 0, 0
53577.50, 68.661586, 326.990203, 386.1537, -0.0513579, 0.1275232, 486.39, 554, 0, 57, 1
53577.50, 68.662183, 326.992132, 391.4195, 0.0062856, 0.0379581, 318.34, 337, 1, -46, 2
53577.50, 68.662779, 326.994060, 392.9702, -0.0460397, -0.0112948, 324.27, 584, 0, -148, 3
53577.50, 68.661916, 326.991269, 390.3938, -0.0711955, 0.0571318, 408.63, 267, 1, 0, 0
53577.75, 68.661369, 326.990751, 389.9800, -0.0626674, 0.1351852, 423.14, 561, 1, 55, 1
53577.75, 68.661960, 326.992674, 392.6692, -0.0162176, 0.0316968, 338.04, 336, 3, -47, 2
53577.75, 68.662551, 326.994596, 392.7693, 0.0154459, -0.0779952, 284.05, 580, 2, -148, 3
53577.75, 68.661690, 326.991795, 392.6805, -0.0557354, -0.0043291, 386.67, 270, 1, 0, 0
53578.00, 68.661152, 326.991320, 391.5393, -0.0077009, -0.0002524, 349.74, 573, 5, 53, 1
53578.00, 68.661740, 326.993223, 393.3025, -0.0223299, -0.0310151, 306.19, 332, 3, -48, 2
53578.00, 68.662329, 326.995126, 392.0032, -0.0332384, -0.0386441, 255.11, 568, 7, -149, 3
53578.00, 68.661461, 326.992321, 393.4647, 0.0256187, 0.0135224, 344.08, 269, 4, 0, 0
53578.25, 68.660907, 326.991780, 391.9518, 0.0206787, -0.0103129, 429.66, 569, 4, 57, 1
53578.25, 68.661498, 326.993701, 394.5276, -0.0764208, 0.0262068, 353.82, 336, 1, -45, 2
53578.25, 68.662089, 326.995622, 391.9504, -0.0217878, -0.0314571, 262.52, 562, 13, -147, 3
53578.25, 68.661235, 326.992847, 394.8210, -0.0335107, 0.0776902, 392.63, 269, 3, 0, 0
53578.50, 68.660673, 326.992295, 392.5646, -0.0612849, 0.0251398, 522.69, 564, 1, 57, 1
53578.50, 68.661262, 326.994202, 396.1038, -0.0088653, -0.0090680, 342.08, 312, 6, -44, 2
53578.50, 68.661851, 326.996108, 391.3975, -0.0126211, -0.0552047, 263.80, 568, 11, -145, 3
53578.50, 68.661006, 326.993373, 395.3393, 0.1018216, 0.0137470, 406.11, 260, 1, 0, 0
53578.75, 68.660415, 326.992713, 394.7117, -0.0584550, 0.0333916, 507.58, 548, 0, 63, 1
53578.75, 68.661007, 326.994641, 395.3573, 0.0069614, -0.0145285, 322.28, 314, 9, -39, 2
53578.75, 68.661600, 326.996569, 391.7025, -0.0564121, -0.0070501, 271.34, 577, 9, -141, 3
53578.75, 68.660780, 326.993900, 394.8097, -0.0287629, 0.0829975, 362.34, 255, 2, 0, 0
53579.00, 68.660165, 326.993175, 396.2998, 0.0478230, 0.0190729, 401.80, 555, 8, 66, 1
53579.00, 68.660755, 326.995087, 394.3292, 0.0416387, -0.0196507, 332.04, 324, 8, -35, 2
53579.00, 68.661345, 326.996999, 391.9452, 0.0064745, -0.0619580, 249.96, 568, 14, -137, 3
53579.00, 68.660551, 326.994425, 394.9149, 0.0353895, -0.0623260, 371.27, 261, 6, 0, 0
53579.25, 68.659912, 326.993610, 394.9123, 0.0438683, -0.0095749, 417.97, 556, 7, 71, 1
53579.25, 68.660500, 326.995527, 393.4049, -0.0030830, -0.0250943, 386.34, 324, 16, -30, 2
53579.25, 68.661088, 326.997444, 390.9997, -0.0087321, -0.0492991, 243.94, 577, 8, -132, 3
53579.25, 68.660324, 326.994953, 394.0030, -0.0159115, -0.0322535, 419.14, 257, 16, 0, 0
53579.50, 68.659651, 326.994033, 393.7845, -0.0077641, 0.0096152, 485.09, 554, 3, 77, 1
53579.50, 68.660243, 326.995961, 393.4866, -0.0298598, -0.0399206, 339.29, 317, 21, -26, 2
53579.50, 68.660836, 326.997889, 389.6256, 0.0259298, -0.0365459, 298.98, 576, 13, -128, 3
53579.50, 68.660095, 326.995479, 394.1372, -0.0044322, -0.0123153, 351.64, 246, 23, 0, 0
53579.75, 68.659374, 326.994395, 393.2742, 0.0882670, -0.0047484, 469.96, 551, 4, 85, 1
53579.75, 68.659975, 326.996357, 392.6809, 0.0182708, -0.0453113, 357.85, 325, 21, -19, 2
53579.75, 68.660576, 326.998320, 387.8987, 0.0404132, -0.0429023, 375.22, 559, 16, -122, 3
53579.75, 68.659867, 326.996006, 393.5099, 0.0136734, -0.0186646, 390.79, 252, 15, 0, 0
53580.00, 68.659107, 326.994799, 392.1276, -0.0473716, 0.0414497, 507.16, 545, 10, 92, 1
53580.00, 68.659707, 326.996756, 391.6687, -0.0117019, -0.0827856, 438.31, 333, 11, -12, 2
53580.00, 68.660308, 326.998713, 387.4877, 0.0010540, -0.0320969, 329.44, 556, 20, -115, 3
53580.00, 68.659639, 326.996532, 392.8573, 0.0077486, -0.0517560, 426.74, 256, 9, 0, 0
53580.25, 68.658834, 326.995178, 393.0820, -0.0607081, 0.0076583, 427.35, 534, 14, 100, 1
53580.25, 68.659432, 326.997131, 391.2255, 0.0488029, -0.0657718, 333.36, 337, 7, -4, 2
53580.25, 68.660031, 326.999084, 385.6709, 0.0546695, -0.0593294, 315.69, 582, 14, -107, 3
53580.25, 68.659411, 326.997060, 391.4491, 0.0523209, -0.0653924, 363.30, 266, 4, 0, 0
53580.50, 68.658531, 326.995479, 392.9632, 0.0403803, -0.0318271, 361.91, 530, 12, 112, 1
53580.50, 68.659140, 326.997451, 389.2378, 0.0620602, -0.0284887, 311.30, 344, 12, 7, 2
53580.50, 68.659749, 326.999423, 383.4584, 0.0566580, -0.1194673, 394.52, 598, 12, -97, 3
53580.50, 68.659181, 326.997587, 389.4772, 0.0556781, -0.0294073, 314.04, 266, 6, 0, 0
53580.75, 68.658271, 326.995902, 390.8130, 0.0857682, -0.0371278, 390.47, 532, 16, 117, 1
53580.75, 68.658874, 326.997857, 387.5791, 0.0437990, -0.0281342, 337.16, 332, 19, 14, 2
53580.75, 68.659476, 326.999812, 382.4100, -0.0447222, -0.0595673, 460.95, 607, 3, -90, 3
53580.75, 68.658954, 326.998116, 387.9108, 0.0343987, -0.0471707, 319.19, 262, 15, 0, 0
53581.00, 68.657975, 326.996230, 388.7002, 0.0385270, -0.0330721, 591.17, 526, 10, 128, 1
53581.00, 68.658591, 326.998214, 387.0016, 0.0151479, -0.0516974, 319.39, 334, 24, 23, 2
53581.00, 68.659207, 327.000199, 381.3721, 0.0082652, -0.0741262, 432.66, 606, 10, -83, 3
53581.00, 68.658725, 326.998645, 386.3007, 0.0303986, -0.0556654, 294.20, 258, 22, 0, 0
53581.25, 68.657740, 326.996724, 386.4958, 0.0173954, -0.0930691, 673.04, 522, 4, 130, 1
53581.25, 68.658334, 326.998646, 384.3401, 0.0405285, -0.1270650, 420.95, 322, 29, 28, 2
53581.25, 68.658927, 327.000567, 379.7933, 0.0186288, -0.0922374, 372.36, 616, 15, -74, 3
