# Filename: ILATM2_V01_20130405_161159_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_V01_20130405_161159.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 130405_aa_l12_cfm_itrf08_27may13_6138_ilul
# International Terrestrial Reference Frame: ITRF08
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
58315.25, 68.470996, 326.686806, 1045.8372, -0.0278116, 0.0032669, 4.72, 541, 15, 51, 1
58315.25, 68.471516, 326.685170, 1043.9325, -0.0295662, -0.0056661, 11.76, 319, 0, -37, 2
58315.25, 68.472035, 326.683535, 1042.7801, -0.0311465, -0.0039040, 9.03, 587, 4, -126, 3
58315.25, 68.471296, 326.685861, 1044.6539, -0.0339712, 0.0037393, 6.26, 302, 0, 0, 0
58315.50, 68.471187, 326.687226, 1045.2237, -0.0316805, 0.0033001, 7.41, 559, 3, 50, 1
58315.50, 68.471706, 326.685598, 1043.1556, -0.0344305, -0.0054064, 10.37, 323, 0, -38, 2
58315.50, 68.472225, 326.683969, 1041.9438, -0.0312676, -0.0095429, 11.15, 593, 0, -126, 3
58315.50, 68.471482, 326.686301, 1043.9728, -0.0364972, 0.0019832, 5.34, 305, 0, 0, 0
58315.75, 68.471377, 326.687654, 1044.5103, -0.0369642, 0.0011951, 7.05, 565, 0, 49, 1
58315.75, 68.471895, 326.686030, 1042.3065, -0.0381324, -0.0039510, 6.86, 324, 1, -38, 2
58315.75, 68.472413, 326.684407, 1041.0318, -0.0282387, -0.0147217, 10.33, 601, 0, -126, 3
58315.75, 68.471668, 326.686741, 1043.2203, -0.0381428, 0.0006478, 5.04, 308, 0, 0, 0
58316.00, 68.471566, 326.688082, 1043.7363, -0.0376930, 0.0004752, 5.87, 570, 1, 49, 1
58316.00, 68.472083, 326.686464, 1041.4232, -0.0407701, -0.0022408, 6.65, 322, 1, -39, 2
58316.00, 68.472601, 326.684846, 1040.0761, -0.0294629, -0.0198331, 5.69, 600, 2, -126, 3
58316.00, 68.471854, 326.687182, 1042.4378, -0.0391244, 0.0017070, 5.15, 306, 0, 0, 0
58316.25, 68.471753, 326.688518, 1042.9879, -0.0361382, 0.0029483, 5.30, 574, 1, 48, 1
58316.25, 68.472270, 326.686903, 1040.6152, -0.0373741, 0.0028010, 7.07, 327, 7, -39, 2
58316.25, 68.472788, 326.685289, 1039.2469, -0.0233262, -0.0121821, 10.32, 597, 8, -126, 3
58316.25, 68.472039, 326.687623, 1041.6750, -0.0385318, 0.0032633, 4.97, 318, 0, 0, 0
58316.50, 68.471933, 326.688973, 1042.3551, -0.0342117, 0.0066869, 4.90, 572, 0, 49, 1
58316.50, 68.472453, 326.687355, 1040.0800, -0.0261517, 0.0076218, 10.98, 329, 9, -38, 2
58316.50, 68.472973, 326.685738, 1038.9278, -0.0087389, 0.0060536, 12.65, 601, 0, -126, 3
58316.50, 68.472225, 326.688065, 1041.0145, -0.0332803, 0.0062198, 6.67, 310, 7, 0, 0
58316.75, 68.472115, 326.689425, 1041.8714, -0.0298902, 0.0098181, 6.09, 570, 4, 50, 1
58316.75, 68.472635, 326.687809, 1039.8848, -0.0118894, 0.0102774, 13.08, 317, 7, -38, 2
58316.75, 68.473155, 326.686193, 1039.1059, 0.0009651, 0.0177495, 10.08, 600, 0, -126, 3
58316.75, 68.472410, 326.688507, 1040.6013, -0.0231801, 0.0109037, 8.71, 300, 6, 0, 0
58317.00, 68.472290, 326.689898, 1041.5917, -0.0237281, 0.0104777, 8.14, 571, 4, 51, 1
58317.00, 68.472810, 326.688282, 1039.9498, -0.0029897, 0.0106342, 9.60, 325, 6, -36, 2
58317.00, 68.473330, 326.686665, 1039.4728, 0.0020245, 0.0181835, 11.41, 592, 6, -124, 3
58317.00, 68.472595, 326.688950, 1040.4711, -0.0128546, 0.0139019, 8.72, 305, 7, 0, 0
58317.25, 68.472463, 326.690379, 1041.4982, -0.0151788, 0.0132191, 6.20, 569, 7, 54, 1
58317.25, 68.472984, 326.688759, 1040.1319, 0.0001513, 0.0107523, 9.40, 336, 0, -34, 2
58317.25, 68.473506, 326.687139, 1039.7653, 0.0000000, 0.0137949, 11.14, 595, 0, -122, 3
58317.25, 68.472780, 326.689392, 1040.5252, -0.0072939, 0.0145761, 6.60, 312, 3, 0, 0
58317.50, 68.472631, 326.690876, 1041.5529, -0.0114850, 0.0147485, 4.72, 568, 1, 56, 1
58317.50, 68.473152, 326.689252, 1040.3116, -0.0016096, 0.0082358, 9.12, 339, 0, -32, 2
58317.50, 68.473674, 326.687628, 1039.9779, -0.0019958, 0.0107523, 9.77, 596, 1, -120, 3
58317.50, 68.472965, 326.689835, 1040.6254, -0.0069412, 0.0124428, 6.10, 313, 1, 0, 0
58317.75, 68.472800, 326.691366, 1041.6259, -0.0114784, 0.0135223, 5.21, 565, 0, 59, 1
58317.75, 68.473320, 326.689748, 1040.3484, -0.0073748, 0.0040142, 9.30, 340, 2, -29, 2
58317.75, 68.473841, 326.688130, 1040.0536, -0.0046927, 0.0052534, 11.26, 591, 5, -116, 3
58317.75, 68.473150, 326.690277, 1040.6526, -0.0102183, 0.0100274, 6.98, 315, 0, 0, 0
58318.00, 68.472971, 326.691852, 1041.6591, -0.0121985, 0.0105822, 5.84, 559, 0, 61, 1
58318.00, 68.473488, 326.690243, 1040.2305, -0.0138763, 0.0040216, 12.35, 332, 0, -26, 2
58318.00, 68.474005, 326.688634, 1039.8623, -0.0103715, -0.0053980, 10.88, 596, 5, -113, 3
58318.00, 68.473335, 326.690718, 1040.5943, -0.0138113, 0.0111243, 8.00, 306, 2, 0, 0
58318.25, 68.473145, 326.692329, 1041.5772, -0.0152415, 0.0047419, 6.54, 549, 4, 63, 1
58318.25, 68.473659, 326.690730, 1040.0925, -0.0150717, 0.0108786, 9.33, 328, 6, -23, 2
58318.25, 68.474172, 326.689131, 1039.4878, -0.0087578, -0.0090468, 9.20, 615, 1, -110, 3
58318.25, 68.473520, 326.691160, 1040.5147, -0.0147792, 0.0130374, 5.90, 307, 2, 0, 0
58318.50, 68.473324, 326.692790, 1041.3566, -0.0155436, 0.0026848, 6.01, 548, 2, 64, 1
58318.50, 68.473833, 326.691204, 1039.9987, -0.0159747, 0.0107420, 7.09, 343, 0, -22, 2
58318.50, 68.474343, 326.689619, 1039.2328, -0.0023241, -0.0049373, 7.50, 617, 3, -108, 3
58318.50, 68.473706, 326.691602, 1040.3825, -0.0171366, 0.0089975, 6.83, 318, 1, 0, 0
58318.75, 68.473505, 326.693241, 1041.0415, -0.0184027, -0.0002706, 8.67, 551, 0, 65, 1
58318.75, 68.474010, 326.691670, 1039.8120, -0.0185755, 0.0054287, 6.08, 330, 0, -20, 2
58318.75, 68.474515, 326.690100, 1039.0648, -0.0065240, -0.0063359, 8.62, 610, 3, -105, 3
58318.75, 68.473890, 326.692043, 1040.1276, -0.0192775, 0.0046941, 5.94, 309, 0, 0, 0
58319.00, 68.473689, 326.693686, 1040.5106, -0.0266346, -0.0069142, 6.03, 552, 0, 65, 1
58319.00, 68.474192, 326.692122, 1039.4212, -0.0234422, -0.0024612, 9.19, 317, 1, -20, 2
58319.00, 68.474695, 326.690557, 1038.8089, -0.0092805, -0.0064070, 6.94, 616, 1, -105, 3
58319.00, 68.474075, 326.692485, 1039.6841, -0.0252641, -0.0043004, 8.59, 298, 2, 0, 0
58319.25, 68.473878, 326.694114, 1039.7464, -0.0313873, -0.0098989, 6.26, 547, 0, 64, 1
58319.25, 68.474384, 326.692542, 1038.7351, -0.0289883, -0.0124618, 6.32, 326, 2, -21, 2
58319.25, 68.474890, 326.690969, 1038.3435, -0.0172849, -0.0140163, 9.73, 621, 0, -106, 3
58319.25, 68.474260, 326.692926, 1038.9520, -0.0308718, -0.0125213, 5.59, 306, 0, 0, 0
58319.50, 68.474068, 326.694538, 1038.7725, -0.0392314, -0.0175436, 7.20, 550, 0, 63, 1
58319.50, 68.474577, 326.692958, 1037.7801, -0.0342303, -0.0195287, 6.88, 328, 0, -22, 2
58319.50, 68.475086, 326.691378, 1037.5376, -0.0250609, -0.0235118, 6.39, 609, 0, -108, 3
58319.50, 68.474445, 326.693368, 1037.9880, -0.0360491, -0.0177243, 7.45, 307, 0, 0, 0
58319.75, 68.474264, 326.694945, 1037.5306, -0.0443693, -0.0242343, 5.45, 543, 5, 62, 1
58319.75, 68.474774, 326.693364, 1036.6343, -0.0372427, -0.0234086, 6.54, 311, 8, -24, 2
58319.75, 68.475283, 326.691782, 1036.6926, -0.0146906, -0.0192806, 13.76, 598, 1, -110, 3
58319.75, 68.474630, 326.693810, 1036.8363, -0.0405495, -0.0219219, 6.03, 301, 1, 0, 0
58320.00, 68.474461, 326.695347, 1036.4445, -0.0277093, -0.0148739, 19.10, 541, 0, 59, 1
58320.00, 68.474972, 326.693764, 1035.9133, -0.0104140, -0.0042371, 23.06, 329, 0, -27, 2
58320.00, 68.475482, 326.692181, 1036.3614, 0.0053081, -0.0059103, 11.37, 586, 4, -112, 3
58320.00, 68.474814, 326.694252, 1036.0280, -0.0153170, -0.0056012, 22.13, 306, 0, 0, 0
58320.25, 68.474660, 326.695743, 1036.0287, -0.0043784, 0.0001913, 12.99, 540, 1, 57, 1
58320.25, 68.475170, 326.694164, 1035.7646, -0.0012645, 0.0019780, 15.19, 332, 0, -29, 2
58320.25, 68.475680, 326.692585, 1036.2593, -0.0002275, -0.0126048, 14.63, 583, 0, -115, 3
58320.25, 68.474999, 326.694694, 1035.8311, -0.0017414, 0.0028858, 11.30, 312, 2, 0, 0
58320.50, 68.474859, 326.696139, 1035.6677, -0.0203512, -0.0097805, 19.47, 533, 3, 55, 1
58320.50, 68.475369, 326.694560, 1035.3434, -0.0228405, -0.0175096, 14.39, 330, 0, -31, 2
58320.50, 68.475880, 326.692980, 1035.6391, -0.0217986, -0.0321264, 12.46, 579, 0, -117, 3
58320.50, 68.475183, 326.695136, 1035.4192, -0.0242401, -0.0169658, 16.24, 312, 0, 0, 0
58320.75, 68.475060, 326.696529, 1034.5797, -0.0452478, -0.0277560, 11.06, 536, 3, 52, 1
58320.75, 68.475569, 326.694955, 1034.2581, -0.0374215, -0.0332676, 9.80, 317, 7, -34, 2
58320.75, 68.476078, 326.693380, 1034.5830, -0.0252173, -0.0344848, 11.11, 575, 0, -120, 3
58320.75, 68.475367, 326.695579, 1034.2930, -0.0400569, -0.0329369, 8.95, 307, 1, 0, 0
58321.00, 68.475257, 326.696930, 1033.1439, -0.0438822, -0.0277619, 6.99, 535, 10, 49, 1
58321.00, 68.475767, 326.695357, 1032.8019, -0.0417535, -0.0379215, 6.43, 321, 1, -36, 2
58321.00, 68.476276, 326.693783, 1033.3493, -0.0292945, -0.0409245, 14.62, 575, 0, -122, 3
58321.00, 68.475552, 326.696021, 1032.8511, -0.0425833, -0.0328309, 6.87, 308, 2, 0, 0
58321.25, 68.475452, 326.697338, 1031.7356, -0.0441783, -0.0257880, 7.36, 548, 0, 48, 1
58321.25, 68.475960, 326.695770, 1031.2503, -0.0436497, -0.0379180, 8.65, 315, 0, -38, 2
58321.25, 68.476468, 326.694202, 1031.9428, -0.0292652, -0.0450923, 11.93, 577, 0, -123, 3
