# Filename: ILATM2_20110419_162016_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_20110419_162016.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 110419_aa_l12_cfm_itrf05_10jun11_6138
# International Terrestrial Reference Frame: ITRF05
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
58839.25, 66.345908, 322.119591, 49.0818, 0.0015307, -0.0039401, 35.51, 521, 55, 61, 1
58839.25, 66.345136, 322.119411, 48.8967, -0.0002191, -0.0008535, 9.47, 305, 37, -25, 2
58839.25, 66.344364, 322.119232, 48.9517, -0.0008279, 0.0000000, 7.32, 594, 24, -112, 3
58839.25, 66.345363, 322.119464, 48.8914, 0.0000000, -0.0006314, 10.33, 289, 31, 0, 0
58839.50, 66.345944, 322.118953, 49.0180, 0.0025065, 0.0035451, 24.25, 510, 63, 62, 1
58839.50, 66.345170, 322.118773, 48.8966, -0.0003435, 0.0000000, 8.86, 313, 23, -24, 2
58839.50, 66.344397, 322.118593, 48.9409, -0.0007176, 0.0008831, 6.60, 574, 44, -111, 3
58839.50, 66.345387, 322.118823, 48.8842, -0.0002261, 0.0003121, 8.73, 283, 29, 0, 0
58839.75, 66.345980, 322.118315, 48.9036, 0.0013143, 0.0030366, 11.93, 520, 50, 63, 1
58839.75, 66.345207, 322.118135, 48.8894, -0.0002372, 0.0008708, 9.30, 301, 33, -23, 2
58839.75, 66.344435, 322.117955, 48.9298, -0.0004551, -0.0002143, 6.23, 585, 37, -109, 3
58839.75, 66.345411, 322.118183, 48.8784, -0.0003944, 0.0003807, 9.84, 284, 29, 0, 0
