# Filename: ILATM2_20110406_135040_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_20110406_135040.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 110406_aa_l12_cfm_itrf05_07jun11_6138
# International Terrestrial Reference Frame: ITRF05
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
49845.00, 69.162092, 309.379326, 25.7206, 0.0022733, 0.0007174, 5.43, 54, 0, -217, 3
49845.25, 69.160928, 309.381569, 25.8388, -0.0003817, 0.0012264, 4.40, 52, 1, -63, 1
49845.25, 69.162191, 309.379926, 25.7716, 0.0017022, 0.0003969, 5.38, 74, 0, -217, 3
49845.50, 69.161023, 309.382145, 25.8636, -0.0008411, 0.0004769, 4.36, 100, 2, -63, 1
49845.50, 69.162288, 309.380531, 25.8017, 0.0017728, 0.0005563, 5.34, 117, 0, -217, 3
49845.50, 69.160509, 309.382799, 25.9105, -0.0003847, 0.0003208, 4.14, 77, 0, 0, 0
49845.75, 69.161112, 309.382728, 25.8648, -0.0008960, 0.0002413, 4.17, 142, 3, -62, 1
49845.75, 69.162379, 309.381142, 25.8324, 0.0017686, 0.0003695, 5.25, 90, 0, -216, 3
49845.75, 69.160600, 309.383368, 25.8877, 0.0002484, -0.0002466, 4.06, 110, 0, 0, 0
49846.00, 69.161191, 309.383323, 25.8512, -0.0012002, 0.0000000, 4.21, 183, 3, -61, 1
49846.00, 69.162441, 309.381790, 25.8653, 0.0019122, 0.0009427, 5.17, 65, 0, -212, 3
49846.00, 69.160690, 309.383938, 25.8647, 0.0006509, -0.0006797, 4.00, 141, 0, 0, 0
49846.25, 69.161263, 309.383926, 25.8446, -0.0013786, 0.0002480, 4.62, 206, 1, -59, 1
49846.25, 69.162514, 309.382422, 25.8213, 0.0014280, -0.0009720, 5.17, 51, 0, -210, 3
49846.25, 69.160778, 309.384510, 25.9324, -0.0016157, 0.0004284, 4.55, 153, 0, 0, 0
49846.50, 69.161318, 309.384549, 25.8398, -0.0013720, 0.0002836, 4.77, 244, 0, -55, 1
49846.50, 69.160864, 309.385084, 25.8998, -0.0008767, 0.0000000, 4.71, 196, 0, 0, 0
49846.75, 69.161364, 309.385180, 25.8351, -0.0016185, 0.0003678, 4.99, 301, 0, -50, 1
