# Filename          : ILATM2_20190515_125400.atm6AT6.filterWritten.filt.csv
# Input filename    : ILATMW1B_20190515_125400.atm6AT6.filterWritten.filt.h5
# Number of segments: 3
# Nadir block width : 80.0m
# Output interval   : 0.25sec
# Smoothing interval: 1.0sec
# International Terrestrial Reference Frame: itrf14

# GPS/UTC offset    : -18
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
46442.00,  69.127019, 310.476309,   233.5340,  0.0029584,  0.0051431,  299.04,  3995,   24,     0, 1
46442.00,  69.126480, 310.474979,   234.9397, -0.0222487,  0.0286510,  407.66,  2120,    6,   -79, 2
46442.00,  69.125940, 310.473650,   234.4971, -0.0140239,  0.0304017,  500.07,  3215,    2,  -159, 3
46442.00,  69.127017, 310.476303,   233.5453,  0.0025975,  0.0048004,  299.08,  4008,   24,     0, 0
46442.25,  69.127225, 310.475723,   232.8989, -0.0136479,  0.0323171,  310.14,  3974,   27,     2, 1
46442.25,  69.126688, 310.474389,   233.6775, -0.0167985,  0.0583290,  388.56,  2147,    7,   -78, 2
46442.25,  69.126151, 310.473056,   233.9762, -0.0036887,  0.0222975,  510.26,  3242,    4,  -157, 3
46442.25,  69.127210, 310.475687,   232.9769, -0.0061789,  0.0328496,  298.17,  3947,   22,     0, 0
46442.50,  69.127425, 310.475123,   232.0867, -0.0286416,  0.0288194,  300.56,  3967,   89,     3, 1
46442.50,  69.126888, 310.473779,   232.9104,  0.0064463,  0.0370900,  417.09,  2082,   19,   -77, 2
46442.50,  69.126351, 310.472436,   232.5318,  0.0249662,  0.0586766,  463.50,  3216,    7,  -157, 3
46442.50,  69.127405, 310.475072,   232.1256, -0.0299888,  0.0302540,  287.16,  3812,   56,     0, 0
46442.75,  69.127638, 310.474557,   231.2245,  0.0062224,  0.0371743,  358.87,  3983,   45,     6, 1
46442.75,  69.127103, 310.473208,   232.2804,  0.0161979,  0.0019416,  359.45,  2099,   26,   -74, 2
46442.75,  69.126568, 310.471859,   232.3481, -0.0128800,  0.0164087,  485.19,  3245,    6,  -154, 3
46442.75,  69.127600, 310.474460,   231.1134, -0.0019235,  0.0374778,  341.58,  3643,   44,     0, 0
46443.00,  69.127854, 310.473996,   230.9701,  0.0051380,  0.0030957,  352.11,  3928,   81,     9, 1
46443.00,  69.127326, 310.472655,   231.9765, -0.0384766, -0.0139108,  372.38,  2081,   22,   -71, 2
46443.00,  69.126797, 310.471314,   230.7755, -0.0330321,  0.0084155,  561.30,  3297,    4,  -150, 3
46443.00,  69.127796, 310.473849,   230.7890, -0.0037723,  0.0044897,  340.96,  3410,   50,     0, 0
46443.25,  69.128060, 310.473412,   230.8678,  0.0218039,  0.0143845,  345.21,  3932,   93,    10, 1
46443.25,  69.127530, 310.472057,   231.8466, -0.0333833,  0.0131471,  405.80,  2118,   19,   -70, 2
46443.25,  69.127000, 310.470701,   230.5321,  0.0385707,  0.0401266,  631.11,  3222,    3,  -149, 3
46443.25,  69.127993, 310.473240,   230.7474,  0.0174842,  0.0000039,  348.28,  3217,   68,     0, 0
46443.50,  69.128276, 310.472853,   231.3439,  0.0104982,  0.0063262,  339.66,  3831,  135,    13, 1
46443.50,  69.127753, 310.471507,   230.8925, -0.0067670,  0.0081042,  438.17,  2116,   13,   -66, 2
